LEFT,CENTER,RIGHT
367,370,324
367,371,325
367,371,326
367,372,326
367,372,327
368,374,327
370,375,328
371,378,330
374,382,333
378,387,337
384,393,343
389,400,350
394,409,359
396,418,317
397,430,329
396,441,286
396,454,299
394,466,254
390,480,267
387,492,280
382,502,291
378,511,354
371,517,363
366,524,425
361,528,431
358,531,494
352,531,496
337,532,497
305,533,495
273,534,490
243,534,444
213,534,396
181,528,344
147,475,293
117,419,242
101,360,190
158,303,141
221,245,97
282,187,94
346,129,94
408,77,96
471,72,97
470,72,97
465,123,98
404,181,110
342,240,161
345,299,211
344,357,259
345,413,311
347,471,360
410,528,411
473,534,462
538,532,501
598,529,499
597,527,500
596,526,500
596,526,499
594,526,500
593,525,500
592,526,499
591,526,500
590,528,496
589,527,495
588,528,495
514,528,494
513,529,493
439,529,492
439,529,492
366,528,490
366,528,431
366,527,430
366,527,367
439,526,366
440,525,366
499,525,365
437,525,362
445,526,319
380,526,331
314,527,279
249,527,287
183,521,233
119,463,179
75,405,127
139,345,78
206,288,76
273,228,99
341,171,126
408,112,149
475,62,157
540,62,159
532,62,160
466,66,158
400,124,151
333,184,138
273,241,160
271,299,193
270,357,238
273,415,292
340,473,344
406,529,400
471,530,452
535,528,494
594,529,497
594,530,497
595,530,499
592,532,499
591,531,500
589,531,500
590,530,501
591,530,501
591,530,501
590,530,501
590,529,501
591,528,501
591,528,501
592,528,500
591,527,500
592,526,436
592,526,437
593,525,373
593,525,373
592,525,372
530,525,369
464,524,320
397,525,266
331,525,273
264,521,216
198,463,223
139,404,168
142,344,114
205,287,69
272,228,84
339,170,93
406,112,113
474,58,124
541,58,130
601,59,132
599,60,131
533,66,125
467,125,106
400,181,128
358,241,165
645,300,210
645,358,260
644,418,312
643,477,367
709,530,421
775,532,474
841,532,497
883,532,496
595,529,495
595,531,496
595,528,497
595,529,496
595,528,495
594,526,495
594,528,495
594,528,433
594,530,432
595,529,369
595,531,369
595,529,306
595,529,306
596,528,244
596,527,243
596,526,243
522,525,243
521,525,243
447,524,242
446,524,303
428,524,302
365,524,361
299,524,353
232,525,365
239,525,312
172,526,320
180,518,265
114,462,212
67,403,158
90,343,108
443,284,63
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
