LEFT,CENTER,RIGHT
745,796,751
744,795,752
743,797,754
744,799,755
745,802,757
745,801,759
747,803,759
749,803,766
752,807,768
756,810,777
760,819,783
766,820,788
772,828,796
778,832,798
784,836,803
788,840,808
790,841,811
794,845,815
796,846,819
800,852,820
801,850,824
803,848,824
801,841,823
797,836,823
795,830,820
790,828,819
788,824,817
785,822,814
782,820,814
778,819,811
774,815,811
769,811,807
766,810,807
763,810,803
762,811,801
761,813,801
761,813,799
761,813,799
761,812,796
761,811,795
761,810,790
761,808,792
759,809,790
759,810,791
758,812,791
758,811,791
752,813,794
748,812,793
727,813,795
701,812,795
662,814,794
586,812,794
508,814,793
425,669,789
356,498,787
319,347,783
297,189,780
282,219,620
269,237,476
260,259,329
252,268,249
246,246,289
242,248,316
239,237,332
236,236,287
234,227,268
233,227,254
232,221,248
226,221,241
226,218,241
220,218,237
221,214,237
220,214,235
223,211,236
225,190,235
231,322,236
234,459,236
244,598,237
257,760,239
274,773,241
297,770,245
322,782,249
349,777,255
375,772,265
402,768,278
420,759,299
442,755,329
455,755,370
473,757,420
489,756,468
505,759,511
524,761,545
543,764,571
566,770,596
588,774,622
612,780,647
634,787,675
657,792,706
681,799,735
702,806,760
725,812,777
739,820,785
752,824,791
761,827,795
766,830,798
771,827,801
774,828,802
775,827,805
777,827,804
777,828,806
773,829,806
771,828,805
766,826,802
761,826,799
755,825,795
742,824,789
728,823,778
710,821,760
693,815,742
672,809,714
650,797,697
629,788,673
608,778,657
590,768,639
575,761,621
561,752,605
547,745,586
537,741,573
527,736,560
521,731,555
517,732,552
513,732,553
509,737,549
504,744,544
499,746,523
494,749,485
490,751,437
484,751,383
479,754,338
471,752,306
464,752,282
454,748,264
442,611,249
431,514,239
318,380,232
301,248,227
277,246,223
246,206,220
302,202,218
272,201,216
241,201,216
225,198,215
218,198,215
210,199,215
209,199,216
206,205,216
209,202,218
207,198,219
210,195,223
210,194,227
210,199,234
211,345,246
213,495,264
279,646,296
389,785,378
513,780,364
639,777,472
695,769,571
711,774,614
710,782,749
713,781,753
720,782,753
722,781,754
726,781,755
721,783,757
719,784,758
719,786,757
721,790,758
724,791,755
727,792,757
728,792,756
729,791,756
730,791,758
732,794,759
735,795,762
738,796,763
742,798,766
746,797,767
748,801,771
751,800,772
753,803,774
756,804,776
760,807,778
763,808,780
766,811,782
768,810,786
768,813,785
769,813,788
768,812,788
769,814,790
771,811,791
772,812,792
772,811,793
771,811,793
771,810,794
769,807,791
770,806,792
768,803,788
768,802,789
766,801,786
766,800,782
762,798,780
758,797,775
752,795,770
747,792,766
740,788,761
732,783,758
722,782,756
705,778,750
687,777,747
660,772,741
627,770,737
566,765,732
493,761,716
418,757,688
346,754,601
304,749,508
273,748,408
253,744,320
237,583,280
226,450,251
218,354,236
213,219,223
209,233,217
206,228,212
205,186,209
202,188,208
202,199,206
200,204,206
201,208,205
200,212,206
270,214,207
366,215,211
485,216,212
599,216,219
648,217,221
666,217,232
661,218,233
666,219,250
663,221,252
666,222,284
665,225,284
663,228,341
662,233,325
662,241,381
663,253,503
