LEFT,CENTER,RIGHT
758,808,783
758,809,782
757,809,781
757,812,782
759,813,784
758,814,785
763,818,788
765,819,791
771,821,793
774,822,796
778,823,798
779,822,801
781,824,805
780,823,808
782,822,810
780,820,808
779,815,805
779,811,802
776,807,799
773,804,797
769,803,794
768,799,791
765,799,790
765,797,788
764,795,786
764,798,784
763,796,783
764,800,784
766,802,785
767,806,789
769,808,789
769,811,792
770,815,794
771,817,795
772,819,796
772,820,794
772,817,794
772,815,793
772,814,793
771,813,793
770,811,793
769,811,792
766,809,793
768,809,792
766,807,790
766,806,789
765,805,788
763,803,789
761,804,789
643,803,789
616,802,790
578,798,788
486,796,789
495,791,789
404,641,787
319,539,786
286,408,786
266,279,784
253,288,717
245,191,576
239,179,451
235,164,315
233,160,246
231,211,250
230,211,237
231,207,236
231,208,233
234,205,233
237,206,232
243,214,232
252,218,232
264,235,234
281,246,236
305,268,240
328,304,245
357,389,251
380,510,260
396,451,272
412,543,287
418,418,310
427,417,335
438,563,371
452,566,408
466,732,444
483,734,482
503,759,511
523,763,546
551,767,575
580,773,606
614,780,643
650,787,674
680,795,714
715,803,745
739,810,773
763,814,791
779,818,804
788,823,811
796,826,816
799,834,818
802,837,820
803,838,823
806,836,825
806,835,828
808,834,829
807,835,830
808,839,828
808,839,830
808,839,829
810,835,832
810,833,833
812,829,837
812,833,837
813,832,839
812,833,840
814,832,838
813,829,838
814,831,834
813,832,835
815,835,831
815,834,831
816,835,828
815,837,825
816,839,822
814,842,820
814,844,818
813,843,816
810,844,817
809,841,814
806,840,816
801,834,813
793,831,813
780,827,809
762,824,805
743,818,798
718,814,785
695,806,766
669,798,744
642,793,712
611,786,683
581,783,652
551,779,618
525,779,575
506,775,521
490,775,461
478,773,396
466,770,347
456,771,307
446,771,283
431,634,265
417,572,253
395,456,245
371,333,239
342,336,234
314,265,230
289,242,227
268,226,224
250,219,223
238,207,222
228,205,223
223,221,223
221,367,225
219,515,224
240,662,229
248,790,227
376,788,244
504,793,235
619,782,336
737,782,477
743,783,594
748,780,742
743,790,773
748,786,773
746,788,773
745,788,773
746,788,773
748,791,774
750,790,773
749,791,774
747,793,776
743,793,775
741,793,777
741,793,778
739,792,778
742,793,780
745,793,782
747,793,785
754,794,788
756,792,790
759,795,793
763,795,796
768,796,797
772,798,801
779,799,802
781,801,806
784,803,807
786,805,809
788,806,810
791,812,811
793,813,810
796,815,812
796,816,811
797,813,812
796,814,812
798,816,812
796,817,813
797,821,813
797,821,813
798,822,813
798,824,813
797,821,812
797,822,813
795,821,813
796,821,814
795,823,814
797,822,814
797,824,814
798,823,812
798,823,811
797,821,809
795,820,808
793,817,807
790,817,806
788,813,805
784,811,802
781,808,799
778,804,795
774,802,796
771,798,792
766,797,793
763,793,790
758,793,788
756,788,786
753,789,785
752,787,783
750,787,781
749,786,780
744,785,779
744,784,779
727,782,777
702,782,777
653,780,776
558,781,773
468,778,774
376,778,620
309,775,581
279,773,446
260,770,307
247,689,319
238,546,215
233,412,209
228,279,208
226,217,209
