LEFT,CENTER,RIGHT
738,828,750
738,826,750
737,827,752
736,825,755
737,824,756
737,825,760
739,824,760
737,826,762
739,825,764
738,827,761
738,827,761
737,830,757
738,829,756
739,830,752
738,828,751
740,832,751
741,831,752
743,826,757
743,827,756
746,826,760
746,827,760
748,832,763
748,834,763
750,830,771
752,834,774
755,834,783
757,837,791
761,839,791
762,839,796
763,839,792
763,837,795
762,839,797
761,842,792
759,841,794
756,844,785
753,842,789
753,841,785
747,840,789
750,836,781
744,832,780
746,830,774
745,825,777
745,822,774
742,817,772
742,814,768
740,814,762
740,814,768
737,817,766
703,818,773
625,820,778
491,824,784
370,827,790
269,831,797
219,830,790
218,672,793
216,510,784
219,365,787
220,207,636
222,158,495
224,162,354
224,151,207
224,153,210
224,202,208
223,204,207
222,199,212
222,200,215
221,198,217
217,199,220
217,205,221
213,207,224
214,215,226
219,217,228
221,218,229
170,222,230
174,225,230
188,229,230
199,231,230
281,232,230
312,231,231
382,374,231
494,521,234
599,667,237
692,816,241
741,817,246
746,818,254
748,824,269
750,824,255
749,826,243
751,827,363
754,825,474
755,823,610
758,826,745
759,825,741
756,824,741
755,828,744
753,827,744
752,831,748
751,830,750
751,830,751
750,829,756
750,827,754
749,826,757
748,826,759
746,823,757
745,821,762
745,820,760
745,815,762
745,811,764
745,806,762
745,805,766
745,806,766
746,807,768
745,812,770
745,811,770
744,815,768
743,813,766
743,817,762
743,815,763
743,817,760
744,819,757
744,820,616
744,825,525
743,823,411
742,824,298
740,819,314
739,822,276
738,816,262
737,646,246
737,501,240
736,337,234
735,196,232
718,214,229
594,229,227
511,255,225
387,259,224
290,265,223
295,250,221
255,237,220
254,228,219
242,225,217
233,221,215
228,218,214
225,208,211
218,205,210
216,197,208
211,195,207
210,197,205
214,195,205
213,197,204
216,196,206
216,200,205
216,200,212
228,202,210
248,201,243
348,206,376
466,206,501
576,222,639
662,217,737
691,220,746
698,375,754
700,508,756
540,669,762
536,812,762
531,813,760
532,812,763
710,814,764
711,810,767
713,811,768
713,810,774
712,809,776
713,813,778
716,814,775
719,816,773
723,818,772
728,817,770
731,817,773
737,817,772
741,817,772
745,818,773
752,818,772
755,820,772
758,821,768
763,821,771
763,820,773
766,819,774
767,816,777
767,817,774
768,815,774
768,818,772
766,816,771
767,813,769
764,811,768
765,806,765
762,802,764
761,800,761
758,798,758
755,796,758
751,796,756
748,794,756
742,790,753
738,787,752
711,782,748
673,782,747
587,779,744
481,779,716
398,778,660
313,775,559
285,772,449
265,769,359
252,763,293
243,689,270
237,553,256
233,435,245
229,309,238
229,249,232
224,252,229
225,222,226
221,219,225
222,214,224
221,214,224
225,226,222
223,226,223
230,226,222
230,227,223
246,227,224
251,228,226
312,228,228
260,229,233
348,231,238
443,234,247
495,238,258
662,243,276
677,250,313
703,256,371
706,268,473
717,283,565
716,321,645
717,313,693
716,300,700
715,406,702
715,494,701
715,623,702
712,754,701
713,756,702
711,755,701
710,753,701
711,751,700
711,750,699
713,748,698
713,748,697
712,746,696
712,749,696
712,747,694
712,750,694
715,749,694
715,749,693
718,748,693
719,748,694
719,746,694
718,748,696
716,747,696
716,751,697
715,750,698
715,752,698
715,753,700
715,753,700
713,638,702
714,510,704
712,464,704
712,378,705
712,400,707
713,417,708
715,358,708
718,325,708
718,306,702
719,292,674
718,279,630
717,272,562
716,264,467
712,259,397
708,254,329
687,251,289
674,247,271
637,245,253
617,241,245
562,238,235
504,234,229
418,231,223
337,227,221
283,225,217
238,222,216
236,220,213
218,220,212
216,219,210
208,220,210
207,219,209
204,220,220
206,220,340
202,226,472
207,221,603
339,240,718
467,224,725
599,192,719
723,334,715
720,448,714
729,601,713
727,761,707
730,762,707
730,762,709
725,762,705
725,763,710
721,762,709
722,760,708
719,761,708
720,762,709
719,763,709
720,762,711
718,762,714
719,763,717
720,760,721
721,762,721
721,761,726
719,760,727
720,763,730
718,765,733
720,767,738
723,769,742
728,774,748
731,779,754
736,783,756
738,786,764
742,792,766
746,794,776
752,801,779
759,806,788
764,814,791
772,819,797
776,828,797
780,836,802
781,842,804
784,850,806
785,850,809
789,855,810
791,851,808
792,855,807
794,854,802
791,855,800
792,856,802
789,857,803
790,854,804
791,855,805
794,852,805
796,852,803
801,852,807
803,853,804
805,855,812
807,852,811
805,854,818
808,855,819
809,853,820
811,856,821
811,855,821
812,853,819
811,854,820
809,855,818
806,854,815
804,853,820
801,854,817
799,857,820
800,858,821
799,860,819
797,862,820
798,864,815
796,865,813
793,863,810
791,862,808
791,857,809
791,856,810
790,854,807
793,854,806
790,852,805
790,852,799
788,848,799
787,849,796
784,845,798
784,844,801
784,841,804
782,838,807
782,836,812
782,836,810
782,833,814
780,831,812
783,829,813
781,825,816
784,827,817
784,827,821
784,830,822
784,831,823
783,835,824
785,837,826
785,841,824
784,842,827
785,845,823
783,846,823
782,848,825
782,850,827
782,849,830
784,848,833
784,848,834
786,851,835
787,851,834
786,854,834
787,853,836
785,851,836
785,850,841
785,850,839
783,847,839
784,851,834
781,852,832
780,856,826
779,854,826
777,855,821
777,851,820
777,851,816
777,850,810
779,847,805
779,844,798
780,838,795
781,837,792
781,834,785
782,833,784
782,832,780
784,835,777
787,835,778
787,838,772
789,837,768
788,836,766
787,836,766
787,838,768
786,842,770
786,845,771
787,846,781
788,848,782
786,844,794
786,845,795
784,841,799
783,843,807
781,841,809
782,841,818
783,844,813
783,838,814
785,838,807
784,836,805
782,833,801
778,835,801
777,835,793
775,833,790
774,834,781
775,829,778
773,829,774
773,827,772
770,830,774
770,829,770
767,830,776
768,828,774
767,827,776
770,821,775
771,822,779
775,822,781
775,822,788
773,826,789
774,824,792
771,826,790
773,824,791
771,828,796
773,828,795
770,832,799
771,830,796
768,833,796
769,833,794
768,833,795
770,836,789
772,836,789
774,840,782
776,841,781
778,843,781
779,841,779
780,839,781
783,838,783
784,837,782
785,835,782
785,836,782
784,836,783
780,834,788
779,838,790
775,837,797
774,840,799
771,840,802
771,840,801
768,839,805
768,836,805
768,835,812
770,830,813
772,830,815
774,825,814
778,826,811
779,825,809
782,825,808
783,828,807
782,828,810
782,829,812
780,829,807
780,829,809
780,828,798
778,828,797
777,827,793
774,828,790
773,827,793
773,827,791
773,828,790
775,827,789
778,830,787
780,831,786
784,835,787
785,838,784
787,839,783
788,843,783
791,843,782
791,839,788
792,840,787
792,836,793
791,836,792
790,838,792
787,836,788
787,837,784
785,835,785
785,835,784
782,833,791
782,833,790
780,833,794
779,836,790
778,839,792
779,841,784
780,844,788
779,845,789
781,847,791
779,847,798
780,843,797
781,842,798
780,838,799
781,841,799
780,836,799
782,838,802
783,834,802
784,831,808
