LEFT,CENTER,RIGHT
755,823,756
753,826,760
751,827,766
750,824,768
752,827,766
750,826,767
752,831,768
751,833,772
751,838,776
753,839,776
753,842,779
756,841,777
757,841,776
757,838,772
758,836,771
758,836,768
756,835,769
756,836,767
752,834,767
753,833,765
751,833,763
752,832,765
749,833,765
749,834,767
747,835,765
747,839,768
747,841,764
746,843,768
745,845,769
744,840,772
743,839,769
740,834,772
741,829,767
737,826,769
737,822,767
734,819,766
732,816,766
731,812,762
727,808,762
725,805,757
721,801,757
718,801,757
717,797,760
714,797,758
711,796,762
709,796,757
703,795,753
583,795,753
458,640,751
333,492,607
215,344,469
212,198,332
214,209,192
339,204,199
465,352,199
592,505,321
725,647,469
726,806,607
731,805,735
732,802,750
728,804,733
732,799,731
727,800,732
726,796,730
724,798,731
726,800,732
727,802,735
728,802,734
727,805,734
727,801,734
727,802,735
727,799,736
728,801,736
728,802,736
731,803,735
732,804,734
734,804,736
734,802,735
732,800,735
730,800,737
729,797,740
729,798,742
731,793,744
731,794,744
729,789,743
727,789,742
726,787,659
725,788,523
726,630,389
724,477,253
596,331,197
464,179,191
333,185,185
204,352,329
215,502,483
266,557,630
366,712,786
489,676,780
603,666,769
674,758,764
701,743,752
701,765,748
694,769,742
696,771,740
689,778,734
689,778,735
690,777,735
691,780,736
692,780,735
695,780,737
699,780,736
703,779,738
707,784,739
711,784,743
714,788,746
717,787,750
723,788,756
725,788,757
732,790,762
733,789,761
738,793,764
739,793,766
741,796,767
743,798,770
744,797,770
746,796,769
746,793,770
745,790,768
744,786,766
743,782,764
738,777,760
738,773,759
733,766,753
733,764,749
731,757,744
729,755,740
728,751,738
724,748,734
723,745,731
721,741,728
720,738,726
719,735,723
718,734,725
714,732,720
688,731,719
559,725,594
436,722,466
317,628,337
227,496,215
234,373,210
272,251,222
386,223,345
496,244,468
610,364,590
695,481,700
696,600,697
698,708,689
697,711,687
694,716,682
693,713,683
692,710,682
692,709,681
691,708,679
691,705,678
689,705,678
690,702,677
689,701,678
689,699,679
688,697,679
687,697,679
686,696,679
687,697,679
686,698,679
687,700,679
687,701,681
687,702,680
688,702,682
687,704,681
687,703,680
688,668,679
689,539,678
690,411,552
540,278,426
407,177,297
279,163,166
137,296,154
142,431,161
146,572,293
274,716,434
416,708,565
559,709,677
688,706,674
688,702,662
688,706,667
695,701,674
696,700,675
700,700,679
700,697,679
700,697,680
699,697,680
699,699,680
698,700,681
698,703,684
700,704,686
699,708,688
701,711,691
701,714,694
702,719,698
705,723,701
707,731,706
711,737,709
715,743,717
720,752,725
725,759,733
732,770,745
737,777,752
744,785,760
750,793,766
754,803,766
761,812,776
767,826,777
774,833,782
779,837,788
781,843,791
785,839,793
785,844,797
789,845,791
787,848,791
791,850,782
789,851,780
789,848,779
790,847,772
786,843,775
786,839,776
784,841,776
784,842,778
781,843,778
781,845,778
779,844,780
776,845,782
774,847,788
770,846,790
769,848,795
767,846,796
768,846,799
768,846,797
770,844,800
771,843,797
772,842,800
773,838,793
772,839,794
774,841,787
772,839,788
773,843,787
769,840,787
765,839,787
761,837,781
756,837,778
752,832,769
748,829,764
746,830,755
743,825,753
740,824,747
736,816,743
734,812,740
729,809,735
725,807,733
723,809,733
718,805,732
716,803,731
714,798,732
713,794,732
712,791,732
711,787,731
712,786,734
711,785,732
712,783,732
712,779,732
714,777,730
714,771,729
718,773,728
718,767,729
720,771,728
719,770,727
719,771,729
717,773,728
716,772,729
715,775,730
713,774,729
714,780,730
713,780,727
714,786,727
714,786,727
714,790,727
714,789,731
714,790,731
714,790,734
716,791,732
717,792,733
718,792,732
719,792,734
719,791,730
718,792,736
718,788,730
718,789,731
717,786,729
716,784,721
714,785,721
714,784,713
712,783,713
713,782,710
712,780,717
712,779,718
709,777,723
709,777,720
705,778,721
703,774,719
702,773,720
703,771,721
704,770,721
706,772,722
706,773,720
707,775,720
706,774,718
708,771,717
709,770,717
711,764,718
713,764,718
714,766,720
717,769,715
716,774,717
718,773,711
717,772,712
716,770,713
715,767,712
716,766,715
713,767,716
716,765,718
715,766,717
716,765,721
717,762,719
717,763,724
716,756,721
715,760,723
713,755,722
712,755,721
713,756,720
711,759,719
713,765,718
713,771,720
714,775,725
715,777,726
714,779,728
714,777,726
713,779,726
713,777,727
711,779,727
714,780,731
713,779,730
716,776,732
716,773,731
716,770,728
715,768,727
712,769,724
712,767,725
712,767,722
712,767,725
713,766,723
711,767,726
709,766,724
706,765,722
706,765,722
703,767,719
703,767,720
703,771,718
702,770,717
701,771,716
699,773,719
700,770,719
698,774,722
702,771,719
703,772,718
704,773,717
706,776,716
705,774,715
705,776,716
705,773,718
705,772,720
706,773,722
707,771,720
708,776,719
709,773,717
710,776,718
710,772,716
710,771,717
706,767,717
708,767,719
706,765,720
706,762,722
707,767,723
707,765,724
709,769,725
709,769,728
710,772,727
710,774,730
709,780,732
712,785,733
714,787,734
715,792,735
718,790,733
720,793,737
720,789,738
722,789,741
720,789,741
723,789,736
722,791,736
724,791,731
726,786,731
727,782,730
730,777,727
730,773,727
732,773,725
730,773,724
731,776,723
727,778,720
728,778,719
724,778,718
724,780,720
721,778,717
718,785,716
716,787,711
713,791,711
714,792,711
713,790,712
714,788,715
714,784,716
716,782,717
715,780,720
717,780,718
716,775,719
717,772,718
718,768,721
718,768,720
718,769,725
716,770,725
716,774,726
714,771,728
715,774,729
715,771,730
714,773,730
715,774,732
715,777,732
716,781,732
716,782,729
717,783,729
717,783,723
718,782,719
717,783,716
721,786,716
719,786,713
721,790,718
721,788,717
718,787,718
718,784,718
716,781,716
716,778,718
715,776,718
715,776,720
715,776,724
713,774,725
710,773,729
709,769,728
708,768,730
710,768,726
711,770,721
712,771,718
713,775,715
713,771,716
714,775,717
715,773,715
714,775,714
717,777,714
717,777,712
717,782,716
717,780,713
715,783,718
715,781,716
715,782,718
714,779,716
715,783,713
713,781,716
712,783,716
713,782,718
712,783,720
713,781,720
714,782,718
715,780,719
715,779,718
718,779,716
716,780,717
719,782,719
718,786,722
722,788,723
723,791,725
725,793,725
727,790,724
726,792,725
726,789,725
724,789,725
725,790,726
721,790,728
723,792,730
721,791,731
722,790,732
721,788,731
720,787,731
717,782,734
716,786,735
716,785,738
714,787,737
717,789,736
714,786,734
715,787,730
713,782,728
713,782,729
711,781,726
710,781,729
711,780,728
712,780,727
714,777,729
716,777,725
717,776,728
718,776,728
719,777,731
720,777,732
721,781,734
722,782,735
722,784,737
723,785,736
721,785,738
723,788,740
721,787,738
720,790,740
720,789,736
718,789,736
719,789,732
719,787,730
718,787,728
717,789,725
715,787,725
713,788,725
712,785,722
712,785,721
712,786,720
712,784,720
