LEFT,CENTER,RIGHT
741,818,754
743,820,755
742,818,755
742,823,756
742,818,755
741,822,755
742,821,759
742,817,756
742,818,758
741,814,757
740,813,758
739,811,758
738,809,762
737,808,761
739,808,761
738,806,759
736,809,759
735,808,572
731,808,571
727,806,386
722,804,381
721,799,381
715,799,378
715,796,378
711,793,374
709,793,374
706,787,372
703,789,553
702,782,548
698,779,728
696,773,723
693,771,724
693,767,721
691,766,721
691,762,717
688,758,715
689,757,710
687,752,710
685,755,709
684,750,710
680,753,714
547,750,718
518,755,720
399,756,719
278,758,719
288,633,718
195,478,721
192,337,719
194,189,720
197,175,710
200,182,623
202,183,494
202,186,361
203,190,236
202,193,191
203,199,189
205,200,189
206,202,194
208,204,194
210,204,199
206,205,201
208,207,204
204,209,204
209,211,204
213,213,206
226,214,206
245,218,208
284,223,212
327,232,339
421,246,462
515,266,485
594,260,605
672,233,461
685,351,466
697,470,585
697,607,593
699,764,757
700,770,756
701,765,755
702,769,749
702,769,742
702,770,744
704,773,737
706,772,739
707,773,733
710,772,730
708,770,727
710,771,725
711,768,721
711,767,723
711,768,719
709,767,721
709,766,717
708,766,716
708,764,715
708,766,715
707,764,714
707,765,718
706,766,718
705,763,721
705,763,723
705,764,722
705,763,722
707,763,721
708,764,719
708,761,568
708,763,534
708,759,437
708,762,333
708,762,365
709,762,280
710,764,253
710,764,236
710,761,227
709,759,220
708,627,216
707,487,212
705,376,209
529,255,206
519,260,205
451,267,203
366,245,202
424,232,200
321,222,199
265,215,197
230,210,195
220,206,195
208,197,195
206,194,182
202,187,180
203,186,306
202,188,303
206,177,436
205,194,562
209,332,584
208,475,718
208,627,721
226,756,735
253,763,710
345,761,715
464,760,715
560,754,713
653,754,716
685,754,715
686,758,720
693,761,719
694,759,720
690,759,722
690,757,723
688,759,723
687,760,726
687,765,724
687,765,726
688,767,726
687,766,727
688,767,727
688,766,726
689,765,725
690,766,728
691,767,728
691,767,728
694,767,727
694,765,728
696,761,728
697,760,728
697,760,729
700,759,728
699,759,726
701,758,724
701,761,722
701,761,720
702,762,718
701,760,720
700,756,717
699,753,716
698,751,713
695,751,712
693,748,711
690,745,711
687,742,708
684,738,706
682,733,704
677,729,700
675,725,699
668,724,696
666,722,696
669,720,695
669,717,695
668,712,693
669,709,692
669,707,689
670,704,689
677,702,687
678,699,687
678,696,685
678,692,684
678,691,682
677,688,681
678,687,680
678,687,678
680,685,679
679,685,678
681,683,678
680,683,678
665,682,679
533,683,678
395,682,678
255,682,660
131,681,536
120,678,403
121,678,269
124,674,151
129,677,139
134,675,138
140,673,139
143,604,143
146,469,147
148,337,151
149,203,153
160,139,153
186,139,154
293,143,154
416,149,154
536,155,154
638,159,155
664,160,159
667,161,183
668,161,247
671,162,373
670,164,492
672,175,591
674,211,655
672,340,658
671,463,660
671,581,665
670,678,661
670,680,658
669,688,656
668,687,652
667,686,652
666,684,651
666,679,649
664,679,647
662,675,646
661,673,646
659,674,644
657,672,643
656,673,642
655,672,639
655,673,638
492,673,636
492,674,635
491,675,634
489,675,634
649,675,634
649,675,635
648,675,634
648,674,635
648,674,635
648,673,636
648,672,637
648,671,636
648,668,637
649,667,636
650,663,637
651,663,636
653,662,637
652,662,635
653,662,510
652,662,510
652,661,509
653,661,510
653,661,635
653,662,635
653,661,636
652,639,637
651,519,637
651,399,639
650,276,638
651,172,637
651,168,619
653,161,580
653,160,470
655,159,350
655,158,249
656,157,165
656,157,153
654,156,150
642,155,146
538,154,146
426,152,146
307,150,147
196,149,147
171,148,147
157,147,147
149,147,147
144,153,146
140,222,146
137,356,144
134,496,143
132,624,142
130,692,140
127,693,140
125,691,139
123,688,149
122,686,206
121,684,337
134,679,462
133,682,582
269,678,652
403,677,647
528,678,649
661,678,644
662,679,645
659,679,648
656,678,649
659,677,651
656,676,650
659,675,650
658,676,649
656,675,650
659,677,650
659,676,651
661,676,654
662,676,654
663,676,657
663,677,658
664,678,661
665,680,663
666,682,668
