LEFT,CENTER,RIGHT
284,338,355
283,336,355
282,335,355
282,334,356
282,334,358
282,333,358
283,332,360
283,333,361
285,333,363
287,334,364
289,334,367
292,336,369
295,337,372
299,338,375
303,339,378
307,340,380
310,341,381
315,342,384
319,343,385
323,343,387
325,345,388
329,345,389
330,347,390
332,347,391
332,347,391
332,348,391
332,348,392
331,350,392
331,349,393
331,350,393
332,349,394
332,350,394
333,350,394
334,350,394
335,351,394
336,351,394
337,351,394
339,352,394
339,351,394
340,350,393
341,350,392
341,350,392
341,350,391
342,351,391
342,351,390
342,351,390
342,351,390
342,350,390
343,351,389
342,349,389
343,350,389
342,348,389
343,348,389
344,347,389
344,347,389
345,346,389
345,346,389
345,346,389
344,347,389
343,348,389
341,348,390
342,349,390
340,349,390
341,349,390
340,348,391
340,349,391
340,348,391
340,348,391
341,347,392
341,347,391
343,346,392
343,346,392
345,345,392
344,344,392
346,344,392
345,345,392
345,345,392
344,345,391
343,346,392
342,346,391
340,347,391
338,346,391
336,347,391
335,347,391
333,347,390
332,348,390
332,348,390
332,348,390
331,348,390
331,348,391
331,347,390
331,346,391
331,345,390
332,345,390
333,344,390
334,344,390
334,344,390
335,345,390
335,344,390
335,345,389
334,345,389
334,345,388
334,347,388
334,348,388
333,350,388
332,351,389
331,352,389
329,352,390
329,353,390
327,352,390
327,353,391
326,353,391
326,353,391
325,352,392
325,351,392
325,350,392
325,349,392
325,348,392
325,348,392
325,347,392
325,347,392
326,346,391
326,346,391
326,346,391
326,346,391
326,347,390
326,347,390
325,348,389
325,348,390
325,349,389
326,349,389
326,350,389
326,350,389
326,351,389
327,351,389
328,352,390
328,351,390
329,352,390
330,350,391
331,350,391
332,350,391
332,349,392
333,349,392
334,349,393
334,348,393
336,347,393
335,347,393
335,347,393
335,348,393
335,348,393
335,349,393
334,349,392
335,350,393
335,349,392
335,349,392
335,348,392
336,347,392
335,347,391
336,347,391
336,346,391
336,345,391
336,345,391
336,344,390
336,344,391
335,344,390
335,344,390
334,345,390
335,346,390
333,348,391
333,349,391
333,351,392
333,352,392
333,352,392
334,353,392
334,352,392
335,352,392
335,351,392
334,350,392
334,350,391
334,349,391
335,348,391
334,347,391
334,345,391
333,345,390
333,344,390
332,344,390
331,344,390
