LEFT,CENTER,RIGHT
335,294,390
330,332,385
335,328,385
286,286,387
338,286,390
331,327,384
325,369,378
330,326,381
334,283,385
329,283,385
274,326,381
276,369,378
279,324,380
331,279,383
328,325,381
326,371,379
328,324,383
332,278,387
331,278,387
275,325,385
329,373,384
331,326,388
336,279,393
334,327,390
331,375,387
334,328,393
340,281,400
341,281,400
282,331,396
337,381,393
339,333,399
345,285,406
345,334,402
341,384,398
342,335,405
350,287,413
413,287,413
350,335,408
345,384,403
347,337,412
356,291,421
357,337,415
351,383,409
351,383,416
358,403,423
423,423,423
358,402,417
352,382,411
352,338,417
359,294,424
359,294,419
354,338,415
399,383,415
339,339,420
360,295,425
360,338,420
355,382,416
356,339,420
360,296,425
425,296,425
361,339,422
358,383,419
358,340,422
361,298,425
361,341,422
358,385,420
359,342,423
362,299,426
426,299,426
361,342,423
359,385,421
361,343,424
364,302,427
363,344,424
360,387,421
421,387,421
362,345,424
365,303,428
365,345,425
362,388,422
363,346,424
365,304,427
364,304,424
361,347,421
405,390,421
348,348,424
367,306,428
365,348,424
361,391,421
364,349,425
368,307,429
429,307,429
365,350,425
361,393,421
365,351,424
368,309,428
364,351,425
361,394,422
366,352,424
368,310,427
427,310,427
364,352,424
361,395,421
367,354,424
370,314,427
364,354,425
362,395,423
371,357,425
373,319,428
428,319,428
364,357,426
362,395,424
371,357,426
374,319,429
365,357,435
372,395,442
442,395,442
395,371,435
388,348,429
366,371,434
371,395,439
396,374,434
391,353,429
429,353,429
367,374,433
371,395,437
398,377,433
395,360,430
367,376,434
371,393,438
402,380,433
398,367,429
429,367,429
367,379,433
372,392,438
405,382,1062
1030,373,1687
997,383,1878
1188,393,2069
2069,393,2069
1223,385,1874
1028,377,1679
994,385,1869
1184,394,2059
1219,386,2059
379,379,2059
379,379,2059
337,387,2059
296,396,2059
326,376,1863
1012,356,1668
968,377,1813
1113,399,1958
1125,346,1783
950,293,1608
1608,293,1608
910,348,1754
1056,403,1901
988,239,1722
809,75,1543
794,239,996
247,403,450
450,403,995
264,240,1540
78,78,1540
81,46,1755
1028,14,1971
1066,36,1013
108,58,55
252,72,53
250,87,51
51,87,51
269,85,62
280,84,73
266,251,74
267,419,76
321,399,278
523,379,481
468,414,501
488,449,521
547,417,509
535,385,498
476,399,503
481,413,509
509,413,506
539,491,504
570,570,504
511,507,503
477,445,502
534,506,502
534,567,502
502,567,501
478,509,501
452,451,501
508,508,501
565,565,501
510,514,502
479,463,503
534,514,502
533,565,501
501,565,502
477,506,504
451,448,502
505,505,501
563,563,501
509,507,502
479,451,504
530,503,503
529,556,502
502,556,504
479,506,506
456,456,506
504,504,504
527,552,503
481,504,505
483,456,507
507,481,506
527,507,505
548,507,505
504,481,507
484,455,509
524,497,332
348,540,156
156,499,139
308,458,122
461,276,110
488,95,99
516,95,98
334,93,98
122,91,98
106,79,279
290,67,460
460,219,463
281,371,467
102,371,478
109,380,489
253,389,489
287,405,482
330,422,475
368,404,478
372,387,482
482,401,479
414,415,477
347,415,484
385,396,491
400,378,483
393,391,475
406,404,483
414,394,491
405,385,491
396,393,483
441,401,475
455,392,483
463,384,491
451,391,483
444,399,476
465,391,483
473,383,491
491,392,483
451,401,476
411,406,483
433,411,491
455,411,483
433,405,475
405,400,483
429,391,491
420,382,491
396,390,483
443,399,475
463,391,483
471,383,491
491,389,483
440,395,476
389,388,483
397,381,490
406,387,483
360,393,476
314,386,483
310,380,490
306,380,481
204,385,473
246,385,479
244,381,485
98,381,477
100,381,469
242,381,469
381,226,473
252,71,478
123,65,467
132,59,456
141,59,271
212,72,87
184,86,87
272,94,87
281,103,87
103,98,94
290,94,102
477,243,107
470,392,112
464,392,210
468,398,308
438,404,407
434,389,507
419,375,507
375,384,514
425,394,521
476,389,514
470,385,508
464,385,508
475,386,508
437,387,509
425,385,510
424,384,510
384,385,512
435,386,514
487,384,510
476,383,507
465,387,509
478,391,512
492,391,509
477,387,506
423,383,509
437,387,513
